忘れられた島,エンシェントガーディアン,ガイアの激怒,クロノスの恐怖,ヒュペリオンの絶望,タイタンの憤怒,古代岩石のマント,古代の魔物のマント,古代岩石のグローブ,古代の魔物のグローブ,古代岩石のブーツ,古代の魔物のブーツ,古代岩石のゲートル,古代の魔物のゲートル,古代のオーラ,古代の技術書,古代の精霊の水晶,古代の魔法書,古代の闇精霊の水晶,古代のドラゴンナイトの書板,古代の記憶の水晶,古代のウォリアーの印章,,,,,,,,,,,,
忘れられた島,ウェアウルフFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,ライカンスロープFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,ダークエルフFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,サイハの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代精霊の水晶,,,,,,,,,,,,,,,,
忘れられた島,バグベアーFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン赤,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代岩石,,,,,,,,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン青,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代岩石,,,,,,,,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン黄,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代岩石,,,,,,,,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン緑,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代岩石,,,,,,,,,,,,,,,,,,
忘れられた島,ハーピーFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,サイハの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
忘れられた島,ミノタウルス斧,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代の魔物の皮,,,,,,,,,,,,,,,,
忘れられた島,ミノタウルスメイス,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代の魔物の皮,,,,,,,,,,,,,,,,
忘れられた島,ミノタウルスゴーレム斧,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代岩石,,,,,,,,,,,,,,,,
忘れられた島,ミノタウルスゴーレムメイス,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代岩石,,,,,,,,,,,,,,,,
忘れられた島,ガーストFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
忘れられた島,ドッペルゲンガーFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代の技術書,,,,,,,,,,,,,,,,,,
忘れられた島,ラミア青FI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,ラミア緑FI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,ジャイアントクロコダイルFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
忘れられた島,ガーストロードFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,永遠の光,古代の闇精霊の水晶,,,,,,,,,,,,,,
忘れられた島,キングバグベアーFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代の魔物の皮,,,,,,,,,,,,,,,,
忘れられた島,ブルートFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代の魔物の皮,古代のオーラ,,,,,,,,,,,,,,,
忘れられた島,サイクロプスFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,古代の魔物の皮,古代の魔法書,,,,,,,,,,,,,,,
忘れられた島,タイタンゴーレム,古代岩石のマント,古代岩石のグローブ,古代岩石のブーツ,古代岩石のゲートル,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,古代岩石,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン透明,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,,
忘れられた島,クリッピングクロウFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,ファアグリオの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,古代の動物の皮,,,,,,,,,,,,,,,,,,
忘れられた島,ゴーレムガーディアン土,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代岩石,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
火竜の棲家,フェニックス,知恵のブーツ,祝福された知恵のブーツ,光るサイハのアミュレット,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,火炎の気,ピュアエリクサー,ハルパスの執念,アデナ,アディショナルファイアー,ハリケーン,ファイアーストーム,メテオストライク,力を失ったドラゴンの心臓,力を失った光るサイハのアミュレット,力を失ったハリケーン,力を失ったメテオストライク,,,,,,,,,,,,,
火竜の棲家,イフリート,刀,プレートメイル,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,ブランクスクロールlv4,ブランクスクロールlv5,メイプルワンド,ファアグリオの遺産,火炎の気,ハルパスの執念,ソウルオブフレイム,マグマブレス,タイタンロック,力を失ったソウルオブフレイム,力を失ったタイタンロック,,,,,,,,,,,,,,,
火竜の棲家,ボムフラワー,火霊のイヤリング,ハルパスの執念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,ドラゴンフライ,ブルーポーション,防具強化スクロール,ルビー,火炎の気,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,サラマンダー,ダークベルト,ルビー,高級ルビー,最高級ルビー,火山灰,バーニングレザー,火炎の気,ハルパスの執念,アデナ,アディショナルファイアー,,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,ホーンケルベロス,ファイアーグローブ,祝福された防具強化スクロール,ルビー,高級ルビー,最高級ルビー,バーニングレザー,火炎の気,ハルパスの執念,アデナ,サンバースト,覚醒ヴァラカス,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,バーニングウォリアー,アイアンプレートメイル,ファイアーグローブ,ブレイブポーション,ルビー,高級ルビー,最高級ルビー,欠けたフレイムリング,火炎の気,ハルパスの執念,アデナ,バーニングウェポン,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,バーニングアーチャー,ハンターボウ,破壊のロングボウ,祝福された破壊のロングボウ,ファイアーグローブ,アイアンブーツ,エルヴンワッフル,ルビー,高級ルビー,最高級ルビー,欠けたフレイムリング,火炎の気,ハルパスの執念,アデナ,ハリケーン,ドレスデクスタリティー,力を失った破壊のロングボウ,力を失ったハリケーン,,,,,,,,,,,,,,,
火竜の棲家,ファイアスピリット,テレポートスクロール,変身スクロール,祝福された武器強化スクロール,火炎の気,ハルパスの執念,エレメンタルファイアー,サンバースト,,,,,,,,,,,,,,,,,,,,,,,,,
火竜の棲家,アシタジオ,烈空のTシャツ,クリスタルプレートメイル,ファイアーグローブ,武器強化スクロール,ルビー,高級ルビー,最高級ルビー,アシタジオの灰,バーニングレザー,欠けたフレイムリング,火炎の気,ハルパスの執念,アデナ,力を失った闘志のアミュレット,,,,,,,,,,,,,,,,,,
火竜の棲家,ラヴァゴーレム,ツーハンドソード,バンデットメイル,ファイアーグローブ,ストーングローブ,ルビー,高級ルビー,最高級ルビー,火山灰,火炎の気,ハルパスの執念,アデナ,マグマブレス,ダイアゴーレム,力を失ったストーングローブ,,,,,,,,,,,,,,,,,,
火竜の棲家,マグマゴーレム,バンデットメイル,ファイアーグローブ,体力のゲートル,ブレイブポーション,ウィズダムポーション,ルビー,高級ルビー,最高級ルビー,火山灰,火炎の気,ハルパスの執念,アデナ,マグマブレス,ダイアゴーレム,力を失ったストーングローブ,力を失ったアーマーブレイク,力を失ったタイタンロック,,,,,,,,,,,,,,,
ドラゴンバレー,ゼロス,知恵のブーツ,賢者のアミュレット,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,ゼロスの霊魂球,ピュアエリクサー,ハルパスの執念,サンドストーム,イミューントゥハーム,シェイプチェンジ,力を失ったゼロススタッフ,力を失った賢者のアミュレット,力を失ったライアリング,,,,,,,,,,,,,,,,,
ドラゴンバレー,グレートブラックエルダー,ブラックエルダーローブ,祝福されたブラックエルダーローブ,ブラックエルダーサンダル,祝福されたブラックエルダーサンダル,変身コントロールリング,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,ブランクスクロールlv5,メイプルワンド,ダークマジックパウダー,グレートブラックエルダーの箱,ピュアエリクサー,ハルパスの執念,アデナ,グレーターリザレクション,アドバンスドスピリッツ,タイタンマジック,力を失った変身支配リング,力を失ったブラックエルダーローブ,力を失ったブラックエルダーサンダル,力を失ったタイタンマジック,,,,,,,,,
ドラゴンバレー,ドレイク,オリハルコンダガー,祝福されたオリハルコンダガー,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,グリーンハッチリンの卵,イエローハッチリンの卵,ドレイクの心臓,ドレイクの卵,ドレイクの魂,怪しい箱,ピュアエリクサー,ハルパスの執念,アデナ,リデュースウェイト,タイタンロック,タイタンブリッツ,力を失ったオリハルコンダガー,力を失ったドラゴンの心臓,力を失ったタイタンロック,力を失ったタイタンブリッツ,,,,,,,,,,
ドラゴンバレー,呪われた花,地霊のイヤリング,ハルパスの執念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,フランティックスケルトンファイター,グレートアックス,アイアンアックス,ディヴァインマジックヘルム,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,力を失った魔法防御ゲートル,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,フランティックスケルトンガード,ルチェンハンマー,祝福されたマジッククローク,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,力を失った魔法防御ゲートル,,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,フランティックスケルトンマークスマン,ハンターボウ,破壊のロングボウ,祝福されたマジッククローク,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,ドレスデクスタリティー,力を失った魔法防御ゲートル,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,クールヘッドスケルトンファイター,ディヴァインマジックヘルム,アイアンシールド,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,クールヘッドスケルトンガード,ディヴァインマジックヘルム,アイアンヘルム,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,クールヘッドスケルトンマークスマン,ハンターボウ,破壊のロングボウ,ディヴァインマジックヘルム,防具強化スクロール,ダイヤモンド,高級ダイヤモンド,ハルパスの執念,アデナ,ドレスデクスタリティー,,,,,,,,,,,,,,,,,,,,,,,
ドラゴンバレー,ジャイアントオーガ,グレートアックス,魔法のヘルム力,スプリントメイル,腕力のブーツ,オーガベルト,ダイヤモンド,高級ダイヤモンド,マーブルの遺産,オーガの血,封印されたテンペストアックス,ハルパスの執念,アデナ,アイアンスキン,力を失った腕力のリング,,,,,,,,,,,,,,,,,,
ドラゴンバレー,ジャイアントコカトリス,アイアンプレートメイル,リフレクションシールド,武器強化スクロール,ダイヤモンド,高級ダイヤモンド,マーブルの遺産,ハルパスの執念,アデナ,サンドストーム,イラプション,シェイプチェンジ,,,,,,,,,,,,,,,,,,,,,
雪山,ビッグフットマーヨ,ダークソード,アイスクイーンスタッフ,極寒のチェーンソード,冷寒のキーリンク,クリスタルプレートメイル,弓射手のグローブ,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,ピュアエリクサー,ハルパスの執念,アデナ,フォカスウェーブ,アイススパイク,力を失ったアイスクイーンスタッフ,力を失った極寒のチェーンソード,力を失った冷寒のキーリンク,力を失ったアーマーブレイク,,,,,,,,,,,,,
雪山,情熱のシャーベット,ダークグローブ,グリーンポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,アデナ,アイスランス,ブリザード,,,,,,,,,,,,,,,,,,,,,,,,
雪山,凍りついた花,水霊のイヤリング,ハルパスの執念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪山,スノーマン,サファイア,高級サファイア,エヴァの遺産,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪山,イエティ,シルバーアックス,アイアングローブ,エルヴンワッフル,サファイア,高級サファイア,アデナ,アイススパイク,,,,,,,,,,,,,,,,,,,,,,,,,
雪山,アイスマン雪,アイアングローブ,ブルーポーション,サファイア,高級サファイア,エヴァの遺産,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,
雪山,アイスマン氷,アイアングローブ,ブルーポーション,サファイア,高級サファイア,エヴァの遺産,アデナ,フォーカスウェーブ,アイスランス,ブリザード,,,,,,,,,,,,,,,,,,,,,,,
雪山,サーベルタイガー,エルヴンワッフル,ブルーポーション,サファイア,高級サファイア,エヴァの遺産,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,
雪山,アイスゴーレム,アイアンヘルム,アイアンプレートメイル,アイアングローブ,アイアンシールド,クリスタルグローブ,ブルーポーション,サファイア,高級サファイア,エヴァの遺産,アデナ,ダイアゴーレム,,,,,,,,,,,,,,,,,,,,,
雪山,アイアンゴーレム,アイアンヘルム,アイアンプレートメイル,アイアングローブ,アイアンシールド,ストーングローブ,高級サファイア,最高級サファイア,エヴァの遺産,アデナ,ダイアゴーレム,力を失ったストーングローブ,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,恐怖のリンドビオル,サイハの弓,ホワイトドラゴンスケイルメイル,祝福された風のマント,祝福されたウィンドリング,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,エメラルド,高級エメラルド,最高級エメラルド,サイハの遺産,グリーンハッチリンの卵,イエローハッチリンの卵,封印された風竜の魔眼,祝福されたリンドビオルの鱗,祝福されたリンドビオルの骨,祝福されたリンドビオルの欠けた爪,祝福されたリンドビオルの血,祝福されたリンドビオルの肉,祝福されたリンドビオルの牙,祝福されたリンドビオルの眼,祝福されたリンドビオルの心臓,祝福された風竜の輝くルーンストーン,ハルパスの執念,ピュアエリクサー,ストライカーゲイル,ライトニングストーム,力を失ったストライカーゲイル,,,
風竜の棲家,マイノシャーマン,ウィンドグローブ,射手のリング,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,欠けたウィンドリング,封印されたラフィアンアックス,ピュアエリクサー,ハルパスの執念,力を失った射手のリング,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,風竜のセターレン,ホワイトドラゴンスケイルメイル,射手のリング,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,欠けたウィンドリング,ピュアエリクサー,ハルパスの執念,ストームアイ,ストームショット,力を失った光るサイハのアミュレット,力を失った射手のリング,,,,,,,,,,,,,,,,,,,
風竜の棲家,風の花,風霊のイヤリング,ハルパスの執念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,ノール,ウィンドグローブ,エメラルド,高級エメラルド,サイハの遺産,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,スティンガーキラービー,エメラルド,高級エメラルド,サイハの遺産,イーグルアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,ハーピー,エメラルド,高級エメラルド,サイハの遺産,アデナ,ホーリーウォーク,,,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,ペルペル,フォーススタッフ,ウィンドグローブ,エメラルド,高級エメラルド,サイハの遺産,欠けたウィンドリング,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,フェリコール,ウィンドグローブ,武器強化スクロール,エメラルド,高級エメラルド,サイハの遺産,欠けたウィンドリング,アデナ,ストームアイ,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,ブルーハーピー,エメラルド,高級エメラルド,最高級エメラルド,サイハの遺産,欠けたウィンドリング,アデナ,ストームショット,ホーリーウォーク,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,マイノ,レイジングウィンド,ウィンドグローブ,祝福された防具強化スクロール,エメラルド,高級エメラルド,最高級エメラルド,欠けたウィンドリング,アデナ,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,ワイバーン,オリハルコンダガー,機敏のブーツ,機敏のリング,防具強化スクロール,祝福された防具強化スクロール,エメラルド,高級エメラルド,最高級エメラルド,欠けたウィンドリング,アデナ,イーグルアイ,ストライカーゲイル,力を失ったオリハルコンダガー,力を失った機敏のリング,力を失ったストライカーゲイル,,,,,,,,,,,,,,,,,
風竜の棲家,ユニドラゴン風,サイハの遺産,グリーンハッチリンの卵,イエローハッチリンの卵,ホワイトドラゴンの鱗,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
風竜の棲家,テラドラゴン風,サイハの遺産,グリーンハッチリンの卵,イエローハッチリンの卵,ホワイトドラゴンの鱗,アデナ,トルネード,,,,,,,,,,,,,,,,,,,,,,,,,,
